Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
9dc51b51-ed38-4548-95d3-9c7174298c79,"Buy 1, Get 1 Free",ACTIVE,"Jul 21, 2025","Jul 22, 2026",12,"All customers","$2,765",22,92,0,"Egg McMuffin®;McChicken®"
b544bb4a-871a-42d5-8306-8bd98ce7d984,"Buy 1, Get 1 Free",ACTIVE,"Jul 21, 2025","Jul 22, 2026",12,"All customers","$9,098",71,321,0,"Hotcakes;McDouble®;Sausage McMuffin® with Egg"
ecff79f8-a8d7-435f-b7fa-fc3d37795f1c,"$0 Delivery Fee",COMPLETED,"Aug 3, 2025","Aug 10, 2025",1,"All customers","$0",0,0,100,""
3ca3a660-03cc-46bb-9513-eb0dab75391c,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
8e155fb5-37bc-4de2-a42a-f5c164b3e546,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
68b17296-870a-4d35-9bb6-3a59b75fc6cb,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
d6954ac4-b830-4cdb-8c0c-003f77192b7b,"Free Item (Spend 20)",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Uber One members only","$0",0,0,0,""
c2cca2c9-1dce-473e-b506-b5f868f3954b,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
08a5bfd9-e15c-49f5-bc1f-53ea71d5232e,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
88b4a36f-04d3-45a2-b33b-2587864c8729,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
eee5ec91-96d5-48ef-b184-88344527a3ee,"Free Item (Spend 20)",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Uber One members only","$0",0,0,0,""
0f4bc191-0749-428d-8d8f-e899b5926b3a,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
055fad2f-86e7-4a18-bf6d-29c18db8bcae,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$31",0,1,0,"6 pc. Chicken McNuggets®"
d9afab66-e8ff-4e34-8d1c-45b6f5a7168f,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$0",0,0,0,""
e34fbfcd-eef7-46ec-8523-e46b47d64496,"Free Item (Spend 20)",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Uber One members only","$91",0,2,0,"Sausage Egg McMuffin® Meal"
dc93a4d4-1cea-4b12-8990-ca1665cfc2bd,"Buy 1, Get 1 Free",COMPLETED,"Jul 20, 2025","Aug 10, 2025",1,"Custom audience","$31",1,1,0,"10 pc. Chicken McNuggets®"
