Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Subtotal tax remitted by DoorDash to tax authorities,Payout ID,Payout status
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-28,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.21,54.21,0.00,502063143,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-21,USD,Marketplace,10960.20,0.00,-1511.84,0.00,-15.84,-372.79,-186.14,0.00,186.14,0.00,-364.12,143.50,8839.11,-17.50,500278581,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-21,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.50,45.50,0.00,500278581,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-14,USD,Marketplace,8982.76,0.00,-1211.58,0.00,-9.90,-455.19,-149.14,0.00,149.14,0.00,-133.49,248.59,7421.19,-14.57,498486049,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-14,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.26,94.26,0.00,498486049,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-07,USD,Marketplace,8717.13,0.00,-1147.47,0.00,-31.91,-687.75,-224.62,0.00,227.82,0.00,-221.90,290.16,6921.46,-14.58,496706322,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-07-07,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.41,49.41,0.00,496706322,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-06-30,USD,Marketplace,10034.71,0.00,-1263.92,0.00,-75.48,-568.45,-255.30,-8.24,313.95,8.24,-121.30,182.79,8247.00,-14.50,494940040,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-06-30,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.95,46.95,0.00,494940040,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-06-23,USD,Marketplace,9609.60,0.00,-1209.89,0.00,-15.84,-495.14,-133.99,0.00,133.99,0.00,-332.01,212.12,7768.84,-14.53,493186499,PAID
5579,McDonald's,686933,McDonald's (24316-HENDERSON),24316,2025-06-23,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.08,42.08,0.00,493186499,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-18,USD,Marketplace,3085.91,0.00,-354.45,0.00,-9.90,-385.34,-55.45,0.00,55.45,0.00,-58.75,67.47,2344.94,-3.41,507361177,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-18,USD,Storefront,12.37,0.00,0.00,-0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,507361177,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-18,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.97,14.97,0.00,507361177,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-11,USD,Marketplace,2994.74,0.00,-381.94,0.00,-16.83,-123.18,-17.60,0.00,17.60,0.00,-17.17,52.65,2508.27,0.00,505615435,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-11,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.78,16.78,0.00,505615435,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-04,USD,Marketplace,3355.57,0.00,-395.56,0.00,-133.17,-335.41,-25.00,0.00,65.53,0.00,-49.18,28.29,2511.07,-5.10,503839572,PAID
5579,McDonald's,694592,McDonald's (23727-VERMILION),23727,2025-08-04,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.51,16.51,0.00,503839572,PAID
