Date,Is self serve campaign,Campaign ID,Campaign name,Campaign start date,Campaign end date,Store ID,Store name,Currency,Impressions,Clicks,Orders,Sales,Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,Average CPA,ROAS,New customers acquired,Existing customers acquired,Total customers acquired
2025-07-10,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,685609,McDonald's (16255-LORAIN),USD,27,6,5,131.12,15.00,0.00,0.00,26.22,3.00,8.74,0,3,5
2025-07-11,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,685609,McDonald's (16255-LORAIN),USD,31,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-12,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,685609,McDonald's (16255-LORAIN),USD,48,5,2,66.29,6.00,0.00,0.00,33.15,3.00,11.05,0,2,2
2025-07-13,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,685609,McDonald's (16255-LORAIN),USD,34,6,2,53.19,6.00,0.00,0.00,26.60,3.00,8.87,0,0,2
2025-07-14,false,271ad31c-d777-4701-bf0e-f33e1b938d2f,McDonald's Ad Campaign (GCM) 7/10-7/13/25,2025-07-10,2025-07-14,685609,McDonald's (16255-LORAIN),USD,6,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-17,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,685609,McDonald's (16255-LORAIN),USD,19,1,1,33.87,3.00,0.00,0.00,33.87,3.00,11.29,0,1,1
2025-07-18,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,685609,McDonald's (16255-LORAIN),USD,34,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
2025-07-19,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,685609,McDonald's (16255-LORAIN),USD,28,3,2,25.83,6.00,0.00,0.00,12.92,3.00,4.31,1,1,2
2025-07-20,false,c29ca2a0-59db-446c-b55b-e031334ad03e,McDonald's Ad Campaign (GCM) 7/17-7/20/25,2025-07-17,2025-07-21,685609,McDonald's (16255-LORAIN),USD,44,6,2,57.84,6.00,0.00,0.00,28.92,3.00,9.64,0,2,2
2025-07-24,false,0078ffcf-2b67-4434-8596-77d079607494,McDonald's Ad Campaign (GCM) 7/24-7/27/25,2025-07-24,2025-07-28,685609,McDonald's (16255-LORAIN),USD,33,3,2,51.73,6.00,0.00,0.00,25.87,3.00,8.62,0,0,2
